Espèce;Description;Nom latin;Famille;Taille;Région;Habitat;Fun fact
Castor;Le castor d’Europe, appelé également le castor commun ou le castor d’Eurasie, est un mammifère rongeur aquatique de la famille des castoridés.;Castor canadensis;Mammifère;100 à 135 cm queue comprise;Europe du nord et Eurasie;Le castor d’Europe vit le long des rivières, des ruisseaux, des lacs et des étangs.;À l’exception des humains, le castor est l’un des seuls mammifères qui façonnent son environnement.
Coyote;Le coyote, également appelé le chacal américain, est un mammifère carnivore apparenté au loup gris (mais de taille plus petite), de la famille des canidés.;Canis latrans;Mammifère;70 à 120 cm;Amérique du nord, Amérique centrale;Le coyote vit dans les plaines, les prairies, les déserts, les régions boisées. On peut l’apercevoir également à la périphérie des villes.;Animal social et parfois solitaire, le coyote vit le plus souvent en couple ou en meute familiale de plusieurs individus. Le coyote est un mammifère monogame.
Écureuil gris de l'Ouest;L’écureuil est un rongeur arboricole appartenant à l’ordre des rodentiens (rongeurs) et à la famille des sciuridés.;Sciurus vulgaris;Mammifère;20 à 25 cm;Eurasie (Europe, Asie Centrale);Animal arboricole par excellence, l’écureuil roux vit dans les forêts de conifères (pins épicéas), les forêts de feuillus et les forêts mixtes.;L'écureuil est l’un des rares mammifères à pouvoir distinguer les couleurs.
Lynx roux;Le lynx commun, appelé également le lynx boréal, le lynx d’Eurasie ou le loup-cervier, est un mammifère carnivore de la famille des félins.;Lynx lynx;Mammifère;75 à 135 cm;Eurasie ;L’espèce vit dans les forêts denses, les forêts boréales, les steppes, les zones montagneuses.;L’expression « avoir un œil de lynx » vient du fait que ce félin a une vue excellente. Il peut repérer une proie de petite taille (lapin) à plus de 300 m, et une buse dans le ciel à 4 km.
Ours Noir;L’ours brun est un mammifère omnivore de la famille des ursidés vivant en Amérique du Nord, en Europe et en Russie.;Ursus arctos;Mammifère;1,5 m à 3,5 m debout sur ses postérieurs;Amérique du Nord, Europe, Russie, Asie;L’ours brun vit dans les forêts montagneuses, les zones semi ouvertes, à proximité des rivières.;Les ours bruns passent l’hiver à hiverner dans des cavernes ou des grottes. Ils accumulent pendant l’été et l’automne une quantité de nourriture importante afin d’avoir assez de graisse pour pouvoir passer l’hiver sans se nourrir.
Puma;Le puma, appelé également le cougar ou le lion de montagne, est un grand mammifère carnivore de la famille des félins.;Puma concolor;Mammifère;1 à 2,30 m;Amérique du Nord et Amérique du Sud;Le puma vit dans les forêts, les prairies, les zones marécageuses.;Le puma est un animal qui peut s’apprivoiser facilement. Certains fermiers en Argentine apprivoisent les félins et les laissent vivre en semi-liberté à la manière des chats.
Rat;Le rat est un genre de gros Muridés originaires d'Asie dont deux espèces ont colonisé l'Europe et le reste du monde;Rattus rattus;Mammifère;11 à 28cm sans la queue;Monde entier;;L'Antarctique est le seul continent inhabité par les rats.
Raton laveur;Le raton laveur commun est un mammifère carnivore de la famille des procyonidés.;Procyon lotor;Mammifère;40 à 80 cm;Amérique du Nord, Amérique Centrale, Mexique, Europe, Moyen Orient, Japon;Le raton laveur vit dans les forêts, à proximité des cours d’eau et des marécages.;"Son surnom de « laveur«  proviendrait du fait qu’il lave ses proies ou ses aliments avant de les manger. Cette hypothèse s’avérerait fausse ; il s’agit simplement du fait qu’il évolue le long des cours d’eau et se nourrit de nombreuses espèces aquatiques."
Renard gris;Le renard roux, appelé également le renard commun ou le renard rouge, est un mammifère carnivore de la famille des canidés.;Vulpes vulpes;Mammifère;90 à 120 cm;Europe, Afrique du Nord, Moyen-Orient, Asie, Australie, Amérique du Nord;L’espèce vit dans les forêts, les champs, les prairies, les toundras, les steppes, les montagnes,;"Les renards utilisent le champ magnétique de la Terre comme un ""radar"" pour chasser."
Vison d'Amérique;;;;;;;
Bernache du Canada;;;;;;;
Éléphant;;;;;;;
Cheval;;;;;;;
Souris;;;;;;;
Loutre de rivière nord-américaine;;;;;;;
Moufette;;;;;;;
Dinde sauvage;;;;;;;
Cerf mulet;;;;;;;